"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38217","mocking the response","safari","Sat Jul 25 18:21:38 IST 2026","passed","Sat Jul 25 18:22:17 IST 2026","","Assignment\One.spec.js","",""
"","12255","Handling multiple pages","chrome","Sat Jul 25 18:21:25 IST 2026","passed","Sat Jul 25 18:21:37 IST 2026","","UIControls.spec.js","",""
"","9159","Hovering mouse on the webelement","chrome","Sat Jul 25 18:22:20 IST 2026","passed","Sat Jul 25 18:22:29 IST 2026","","HandlingDailogues\Frames.spec.js","",""
"","9277","@Web Same program in different way","chrome","Sat Jul 25 18:21:53 IST 2026","passed","Sat Jul 25 18:22:02 IST 2026","","UIBasicsTest.spec.js","",""
"","18687","First Playwright Automation test","safari","Sat Jul 25 18:22:41 IST 2026","passed","Sat Jul 25 18:23:00 IST 2026","","UIBasicsTest.spec.js","",""
"","26091","visual testing by screenshot","chrome","Sat Jul 25 18:20:30 IST 2026","broken","Sat Jul 25 18:20:56 IST 2026","","ScreenshotandVisualComparison\TakeScreenshot.spec.js","",""
"","15595","Handling Static Dropdown","chrome","Sat Jul 25 18:20:53 IST 2026","passed","Sat Jul 25 18:21:08 IST 2026","","UIControls.spec.js","",""
"","11135","Login by providing invalid credentials","chrome","Sat Jul 25 18:20:06 IST 2026","passed","Sat Jul 25 18:20:17 IST 2026","","LoginPageAutomation.spec.js","",""
"","15193","take screenshot after a particular test step","safari","Sat Jul 25 18:22:14 IST 2026","passed","Sat Jul 25 18:22:29 IST 2026","","ScreenshotandVisualComparison\TakeScreenshot.spec.js","",""
"","13114","visual testing by screenshot","safari","Sat Jul 25 18:22:30 IST 2026","failed","Sat Jul 25 18:22:43 IST 2026","","ScreenshotandVisualComparison\TakeScreenshot.spec.js","",""
"","8585","Radio Button","safari","Sat Jul 25 18:23:26 IST 2026","passed","Sat Jul 25 18:23:35 IST 2026","","UIControls.spec.js","",""
"","36801","Login with valid credentials","chrome","Sat Jul 25 18:21:11 IST 2026","broken","Sat Jul 25 18:21:48 IST 2026","","LoginPageCodeByUsingUniqueLocators.spec.js","",""
"","8","Login2 validation","safari","Sat Jul 25 18:22:36 IST 2026","skipped","Sat Jul 25 18:22:36 IST 2026","","EndToEndTestAutomation.spec.js","",""
"","4","Login for mansi50@yahoo.com","safari","Sat Jul 25 18:22:36 IST 2026","skipped","Sat Jul 25 18:22:36 IST 2026","","EndToEndTestAutomation.spec.js","",""
"","5540","Handling multiple pages","safari","Sat Jul 25 18:23:41 IST 2026","passed","Sat Jul 25 18:23:47 IST 2026","","UIControls.spec.js","",""
"","15145","take screenshot after a particular test step","chrome","Sat Jul 25 18:20:14 IST 2026","passed","Sat Jul 25 18:20:29 IST 2026","","ScreenshotandVisualComparison\TakeScreenshot.spec.js","",""
